ticker,company,cik,year,accession,status,path
TECH,Bio-Techne,0000842023,2020,0001437749-20-018754,success,../data/item1a/0000842023_2020.txt
TECH,Bio-Techne,0000842023,2019,0001437749-19-017565,success,../data/item1a/0000842023_2019.txt
TECH,Bio-Techne,0000842023,2018,0001437749-18-016190,success,../data/item1a/0000842023_2018.txt
TECH,Bio-Techne,0000842023,2017,0001437749-17-015711,success,../data/item1a/0000842023_2017.txt
TECH,Bio-Techne,0000842023,2016,0001437749-16-038182,success,../data/item1a/0000842023_2016.txt
TECH,Bio-Techne,0000842023,2015,0001437749-15-016645,success,../data/item1a/0000842023_2015.txt
TECH,Bio-Techne,0000842023,2014,0001193125-14-327566,success,../data/item1a/0000842023_2014.txt
TECH,Bio-Techne,0000842023,2013,0001193125-13-351961,success,../data/item1a/0000842023_2013.txt
TECH,Bio-Techne,0000842023,2012,0001193125-12-373084,success,../data/item1a/0000842023_2012.txt
TECH,Bio-Techne,0000842023,2011,0001193125-11-235045,success,../data/item1a/0000842023_2011.txt
